province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,total_households,population_total,population_male,population_female,average_household_size,sex_ratio,total_population_10_years_and_older,male_population_10_years_and_older,female_population_10_years_and_older,total_usually_economically_active_employed,male_usually_economically_active_employed,female_usually_economically_active_employed,total_usually_economically_active_unemployed,male_usually_economically_active_unemployed,female_usually_economically_active_unemployed,total_not_usually_economically_active,male_not_usually_economically_active,female_not_usually_economically_active,total_not_economically_active,male_not_economically_active,female_not_economically_active,total_economic_activity_not_stated,male_economic_activity_not_stated,female_economic_activity_not_stated,total_all_ages,total_00_04_yrs,total_05_09_yrs,total_10_14_yrs,total_15_19_yrs,total_20_24_yrs,total_25_29_yrs,total_30_34_yrs,total_35_39_yrs,total_40_44_yrs,total_45_49_yrs,total_50_54_yrs,total_55_59_yrs,total_60_64_yrs,total_65_69_yrs,total_70_74_yrs,total_75_79_yrs,total_80_84_yrs,total_85_89_yrs,total_90_94_yrs,total_95plus_yrs,male_all_ages,male_00_04_yrs,male_05_09_yrs,male_10_14_yrs,male_15_19_yrs,male_20_24_yrs,male_25_29_yrs,male_30_34_yrs,male_35_39_yrs,male_40_44_yrs,male_45_49_yrs,male_50_54_yrs,male_55_59_yrs,male_60_64_yrs,male_65_69_yrs,male_70_74_yrs,male_75_79_yrs,male_80_84_yrs,male_85_89_yrs,male_90_94_yrs,male_95plus_yrs,female_all_ages,female_00_04_yrs,female_05_09_yrs,female_10_14_yrs,female_15_19_yrs,female_20_24_yrs,female_25_29_yrs,female_30_34_yrs,female_35_39_yrs,female_40_44_yrs,female_45_49_yrs,female_50_54_yrs,female_55_59_yrs,female_60_64_yrs,female_65_69_yrs,female_70_74_yrs,female_75_79_yrs,female_80_84_yrs,female_85_89_yrs,female_90_94_yrs,female_95plus_yrs,total_children_5_17,male_children_5_17,female_children_5_17,currently_attending_school_male,currently_attending_school_female,oos_ever_attended_school_male,oos_ever_attended_school_female,oos_never_attended_school_male,oos_never_attended_school_female,currently_attending_school_total_pc,currently_attending_school_male_pc,currently_attending_school_female_pc,oos_ever_attended_school_total_pc,oos_ever_attended_school_male_pc,oos_ever_attended_school_female_pc,oos_never_attended_school_total_pc,oos_never_attended_school_male_pc,oos_never_attended_school_female_pc,population_15plus_total,population_15plus_male,population_15plus_female,literate_population_total,literate_population_male,literate_population_female,literacy_rate_total,literacy_rate_male,literacy_rate_female,population_0_14,population_15_64,population_65plus,child_dependency_ratio,elderly_dependency_ratio,total_dependency_ratio,population_5plus_total,population_5plus_male,population_5plus_female,education_level_illiterate_male,education_level_illiterate_female,education_level_early_childhood_male,education_level_early_childhood_female,education_level_basic_level_male,education_level_basic_level_female,education_level_secondary_male,education_level_secondary_female,education_level_higher_education_male,education_level_higher_education_female,education_level_other_male,education_level_other_female,education_level_illiterate_pc_total,education_level_illiterate_pc_male,education_level_illiterate_pc_female,education_level_early_childhood_pc_total,education_level_early_childhood_pc_male,education_level_early_childhood_pc_female,education_level_basic_level_pc_total,education_level_basic_level_pc_male,education_level_basic_level_pc_female,education_level_secondary_pc_total,education_level_secondary_pc_male,education_level_secondary_pc_female,education_level_higher_education_pc_total,education_level_higher_education_pc_male,education_level_higher_education_pc_female,education_level_other_pc_total,education_level_other_pc_male,education_level_other_pc_female,population_urban,population_peri_urban,population_rural,population_pc_urban,population_pc_peri_urban,population_pc_rural,population_20_24_total,population_20_24_male,population_20_24_female,population_married_before_18_total,population_married_before_18_male,population_married_before_18_female,child_marriage_rate_total,child_marriage_rate_male,child_marriage_rate_female,total_population,population_with_disabilities,population_without_disabilities,population_disability_not_reported,disability_prevlance_rate,population_density
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,4399,15995,7853,8142,3.6360536485564903,96.45050356177843,13509,6586,6923,7863,4158,3705,415,222,193,2396,897,1499,2820,1306,1514,15,3,12,15995,1141,1345,1476,1554,1381,1304,1016,901,939,804,878,784,789,597,480,335,163,83,18,7,7853,589,678,738,810,650,649,512,436,427,395,393,401,393,292,218,142,76,45,7,2,8142,552,667,738,744,731,655,504,465,512,409,485,383,396,305,262,193,87,38,11,5,3726,1915,1811,1782,1710,101,65,30,36,93.72,93.05,94.42,4.46,5.27,3.59,1.77,1.57,1.99,12033,5848,6185,7722,4333,3389,64.17,74.09,54.79,3962,10350,1683,38.28,16.26,54.54,14854,7264,7590,1552,2843,173,161,3584,2822,1598,1350,185,142,172,272,29.59,21.37,37.46,2.25,2.38,2.12,43.13,49.34,37.18,19.85,22,17.79,2.2,2.55,1.87,2.99,2.37,3.58,0,0,15995,0,0,100,1381,650,731,135,20,115,9.78,3.08,15.73,15995,387,15608,0,2.42,NA
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,4747,16490,7970,8520,3.473772909205814,93.54460093896714,13789,6653,7136,7328,3749,3579,417,255,162,3198,1390,1808,2840,1257,1583,6,2,4,16490,1285,1416,1587,1776,1387,1213,950,871,906,828,953,752,783,640,545,298,178,72,34,16,7970,625,692,747,852,680,616,466,414,416,390,441,368,390,314,263,148,97,33,12,6,8520,660,724,840,924,707,597,484,457,490,438,512,384,393,326,282,150,81,39,22,10,4084,1948,2136,1762,1950,150,145,34,41,90.89,90.45,91.29,7.22,7.7,6.79,1.84,1.75,1.92,12202,5906,6296,7441,4185,3256,60.98,70.86,51.72,4288,10419,1783,41.16,17.11,58.27,15205,7345,7860,1763,3081,216,215,3682,3056,1426,1284,150,99,108,125,31.86,24,39.2,2.83,2.94,2.74,44.31,50.13,38.88,17.82,19.41,16.34,1.64,2.04,1.26,1.53,1.47,1.59,0,0,16490,0,0,100,1387,680,707,156,38,118,11.25,5.59,16.69,16490,668,15822,0,4.05,NA
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,6151,21097,10269,10828,3.429848805072346,94.83745844107868,17617,8474,9143,10570,5297,5273,445,249,196,3509,1544,1965,3088,1382,1706,5,2,3,21097,1695,1785,2014,2102,1869,1633,1291,1164,1078,954,1146,1013,1029,861,598,440,240,136,34,15,10269,894,901,1021,1030,885,760,643,541,526,422,534,495,503,420,298,222,110,51,10,3,10828,801,884,993,1072,984,873,648,623,552,532,612,518,526,441,300,218,130,85,24,12,5105,2579,2526,2407,2412,141,89,31,25,94.4,93.33,95.49,4.51,5.47,3.52,1.1,1.2,0.99,15603,7453,8150,10240,5526,4714,65.63,74.14,57.84,5494,13279,2324,41.37,17.5,58.87,19402,9375,10027,1966,3467,271,265,4217,3357,2317,2201,294,239,310,498,28,20.97,34.58,2.76,2.89,2.64,39.04,44.98,33.48,23.29,24.71,21.95,2.75,3.14,2.38,4.16,3.31,4.97,0,0,21097,0,0,100,1869,885,984,157,29,128,8.4,3.28,13.01,21097,854,20243,0,4.05,NA
Bagmati,Dolakha,Baiteshwor,NP03,NP0322,NP0322404,5373,17896,8533,9363,3.3307277126372603,91.13531987610808,15459,7260,8199,9111,4485,4626,350,177,173,2718,1107,1611,3278,1490,1788,2,1,1,17896,1163,1274,1541,1673,1439,1278,1144,1179,999,943,1162,988,938,792,538,411,241,123,52,18,8533,625,648,821,845,696,608,530,539,457,408,513,432,446,373,233,181,107,49,17,5,9363,538,626,720,828,743,670,614,640,542,535,649,556,492,419,305,230,134,74,35,13,3858,2012,1846,1913,1774,67,49,32,23,95.57,95.08,96.1,3.01,3.33,2.65,1.43,1.59,1.25,13918,6439,7479,9423,5088,4335,67.7,79.02,57.96,3978,11743,2175,33.88,18.52,52.4,16733,7908,8825,1384,3164,256,217,3100,2516,2482,2066,382,294,304,568,27.18,17.5,35.85,2.83,3.24,2.46,33.56,39.2,28.51,27.18,31.39,23.41,4.04,4.83,3.33,5.21,3.84,6.44,0,0,17896,0,0,100,1439,696,743,141,24,117,9.8,3.45,15.75,17896,607,17289,0,3.39,NA
Bagmati,Dolakha,Jiri,NP03,NP0322,NP0322302,4244,16109,7809,8300,3.7957115928369465,94.0843373493976,13627,6532,7095,7796,3858,3938,727,459,268,2053,829,1224,3050,1386,1664,1,0,1,16109,1134,1348,1336,1649,1474,1417,1250,1126,839,740,919,779,677,518,370,255,152,83,31,12,7809,595,682,650,789,691,677,593,554,402,350,436,382,336,245,181,122,66,39,13,6,8300,539,666,686,860,783,740,657,572,437,390,483,397,341,273,189,133,86,44,18,6,3588,1763,1825,1672,1745,63,45,28,35,95.23,94.84,95.62,3.01,3.57,2.47,1.76,1.59,1.92,12291,5882,6409,8235,4520,3715,67,76.84,57.97,3818,10870,1421,35.12,13.07,48.2,14975,7214,7761,1393,2734,197,176,2785,2295,2454,2134,268,195,117,227,27.56,19.31,35.23,2.49,2.73,2.27,33.92,38.61,29.57,30.64,34.02,27.5,3.09,3.71,2.51,2.3,1.62,2.92,0,0,16109,0,0,100,1474,691,783,130,18,112,8.82,2.6,14.3,16109,441,15668,0,2.74,NA
Bagmati,Dolakha,Tamakoshi,NP03,NP0322,NP0322407,4485,15163,7317,7846,3.3808249721293198,93.25771093550854,13006,6178,6828,7419,3613,3806,345,200,145,2382,1043,1339,2855,1319,1536,5,3,2,15163,962,1195,1303,1461,1204,1064,929,824,902,756,1014,844,802,703,480,362,179,117,50,12,7317,495,644,658,712,584,501,438,363,404,319,489,401,386,344,226,186,89,58,13,7,7846,467,551,645,749,620,563,491,461,498,437,525,443,416,359,254,176,90,59,37,5,3437,1761,1676,1688,1607,46,52,27,17,95.87,95.85,95.88,2.85,2.61,3.1,1.28,1.53,1.01,11703,5520,6183,8056,4418,3638,68.84,80.04,58.84,3460,9800,1903,35.31,19.42,54.72,14201,6822,7379,1124,2563,182,153,3068,2540,2009,1649,259,178,180,296,25.96,16.48,34.73,2.36,2.67,2.07,39.49,44.97,34.42,25.76,29.45,22.35,3.08,3.8,2.41,3.35,2.64,4.01,0,0,15163,0,0,100,1204,584,620,118,20,98,9.8,3.42,15.81,15163,738,14425,0,4.87,NA
Bagmati,Dolakha,Melung,NP03,NP0322,NP0322406,4796,15893,7456,8437,3.3138031693077563,88.3726443048477,13889,6430,7459,6292,3105,3187,330,185,145,3301,1344,1957,3964,1795,2169,2,1,1,15893,920,1084,1451,1479,1166,975,951,848,930,851,1155,905,978,770,626,407,226,108,42,21,7456,502,524,734,677,536,481,426,364,387,381,507,421,462,362,320,192,111,45,18,6,8437,418,560,717,802,630,494,525,484,543,470,648,484,516,408,306,215,115,63,24,15,3443,1677,1766,1527,1604,89,86,61,76,90.94,91.06,90.83,5.08,5.31,4.87,3.98,3.64,4.3,12438,5696,6742,7331,4052,3279,58.94,71.14,48.64,3455,10238,2200,33.75,21.49,55.24,14973,6954,8019,1693,3522,129,130,2846,2266,1740,1596,205,150,341,355,34.83,24.35,43.92,1.73,1.86,1.62,34.14,40.93,28.26,22.28,25.02,19.9,2.37,2.95,1.87,4.65,4.9,4.43,0,0,15893,0,0,100,1166,536,630,147,26,121,12.61,4.85,19.21,15893,425,15466,2,2.67,NA
Bagmati,Dolakha,Shailung,NP03,NP0322,NP0322405,5134,17923,8584,9339,3.4910401246591354,91.91562265767213,15591,7401,8190,9698,4708,4990,241,133,108,1976,884,1092,3673,1673,2000,3,3,0,17923,1063,1269,1542,1637,1470,1385,1190,1094,1031,953,1154,966,940,828,634,399,220,97,40,11,8584,543,640,738,779,708,709,599,513,453,412,516,447,479,393,295,201,96,47,12,4,9339,520,629,804,858,762,676,591,581,578,541,638,519,461,435,339,198,124,50,28,7,3797,1848,1949,1741,1876,82,60,23,13,95.26,94.21,96.25,3.74,4.44,3.08,0.95,1.24,0.67,14049,6663,7386,8900,4923,3977,63.35,73.89,53.85,3874,11820,2229,32.77,18.86,51.63,16860,8041,8819,1761,3422,154,152,3480,2687,2140,1991,238,168,268,399,30.74,21.9,38.8,1.81,1.92,1.72,36.58,43.28,30.47,24.5,26.61,22.58,2.41,2.96,1.9,3.96,3.33,4.52,0,0,17923,0,0,100,1470,708,762,187,44,143,12.72,6.21,18.77,17923,438,17484,1,2.44,NA
Bagmati,Dolakha,Bhimeshwor,NP03,NP0322,NP0322301,10164,34712,16630,18082,3.4151908697363242,91.96991483243005,29145,13702,15443,15169,7959,7210,1077,535,542,5253,1998,3255,7627,3205,4422,19,5,14,34712,2542,3025,3003,3048,2949,3011,2780,2421,2052,1741,1856,1533,1457,1185,869,626,338,197,51,28,16630,1343,1585,1492,1535,1359,1390,1298,1107,978,800,855,712,681,570,384,270,160,87,17,7,18082,1199,1440,1511,1513,1590,1621,1482,1314,1074,941,1001,821,776,615,485,356,178,110,34,21,7812,4003,3809,3788,3654,168,123,45,31,95.26,94.63,95.93,3.73,4.2,3.23,0.97,1.12,0.81,26142,12210,13932,19205,10291,8914,73.46,84.28,63.98,8570,22848,3294,37.51,14.42,51.93,32170,15287,16883,1973,5060,589,468,6184,5187,5099,4703,1022,793,420,672,21.86,12.91,29.97,3.29,3.85,2.77,35.35,40.45,30.72,30.47,33.36,27.86,5.64,6.69,4.7,3.39,2.75,3.98,15157,0,19555,43.67,0,56.33,2949,1359,1590,298,42,256,10.11,3.09,16.1,34712,1038,33673,1,2.99,NA
Bagmati,Sindhupalchok,Bhotekoshi,NP03,NP0323,NP0323404,3732,14318,7274,7044,3.8365487674169345,103.26519023282226,12193,6176,6017,5033,3002,2031,573,352,221,2695,1126,1569,3883,1691,2192,9,5,4,14318,990,1135,1257,1339,1313,1169,1043,974,943,794,852,584,571,507,391,219,135,69,20,13,7274,524,574,627,710,694,576,527,480,486,375,441,302,272,265,200,116,55,36,9,5,7044,466,561,630,629,619,593,516,494,457,419,411,282,299,242,191,103,80,33,11,8,3179,1601,1578,1451,1455,105,84,45,39,91.41,90.63,92.21,5.95,6.56,5.32,2.64,2.81,2.47,10936,5549,5387,6396,3670,2726,58.49,66.14,50.6,3382,9582,1354,35.3,14.13,49.43,13328,6750,6578,1916,2696,154,131,3161,2267,1193,1116,116,104,210,264,34.6,28.39,40.99,2.14,2.28,1.99,40.73,46.83,34.46,17.32,17.67,16.97,1.65,1.72,1.58,3.56,3.11,4.01,0,0,14318,0,0,100,1313,694,619,139,36,103,10.59,5.19,16.64,14318,677,13640,1,4.73,NA
